Hisse,Link,Pay Grubu,İmtiyaz Türü,Borsada işlem görüp görmediği
PERGAMON STATUS DIŞ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/1DE05DAA8399073AE0530A4A622A2EBD,A,Genel Kurulda Oy ve Yönetim Kurulu Aday Gösterme İmtiyazı,İşlem Görmüyor
PETKİM PETROKİMYA HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef470141165c566a03e4,A,YOK,İşlem Görüyor
PETROKENT TURİZM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed72014106c1df9a021f,-,,Seçim Yapınız
PINAR ENTEGRE ET VE UN SANAYİİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240ee866c0140f1f7b3990027,A,Yönetim Kurulu Üye Seçiminde ve Oy Hakkında,İşlem Görmüyor
PINAR SU VE İÇECEK SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240ee866c0140f1f8c01a003e,-,YOKTUR,İşlem Görüyor
PINAR SÜT MAMULLERİ SANAYİİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240ee866c0140f1f97e530042,A,Yönetim Kurulu Üye Seçimi,İşlem Görmüyor
PLASTİKKART AKILLI KART İLETİŞİM SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a24184e9e501419d8dd26e7538,A,Oy,İşlem Görmüyor
PLATFORM TURİZM TAŞIMACILIK GIDA İNŞAAT TEMİZLİK HİZMETLERİ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2422d9a7801427038d3fc1e11,A,1 pay 5 (beş) oy hakkına ve Şirket yönetim kurulu üyelerinin yarısı A grubu pay sahiplerinin göstereceği adaylar arasından seçilir.,İşlem Görmüyor
POLİSAN HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241733d4a01417414a27127d7,-,Yok,İşlem Görüyor
POLİTEKNİK METAL SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a246b4c5a90147fcd473d37f85,A,İmtiyazlı,İşlem Görmüyor
PRİZMA PRES MATBAACILIK YAYINCILIK SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2415f4f8401415ff644c5341c,A,Oyda İmtiyaz Vardır,İşlem Görmüyor
QNB FİNANS FİNANSAL KİRALAMA A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed7201410821418e027d,-,Yoktur,İşlem Görüyor
